call_id                             , speaker , text                                                                                                                                                                                                 , stime, etime
00be25b0-458f-4cbf-ae86-ae2ec1f7fba4, Agent   , "Hello, is this Mr. Johnson? This is Lisa calling from XYZ Collections. How are you today?"                                                                                                          ,   0.0,   7.0
00be25b0-458f-4cbf-ae86-ae2ec1f7fba4, Customer, "I'm sorry, but I think you have the wrong person. My name is Sarah."                                                                                                                                ,   6.5,  12.0
00be25b0-458f-4cbf-ae86-ae2ec1f7fba4, Agent   , "Oh, I apologize for the confusion, Sarah. I'm reaching out about a debt related to an outstanding balance with Definite Bank."                                                                      ,  11.0,  19.0
00be25b0-458f-4cbf-ae86-ae2ec1f7fba4, Customer, I don't have any account with Definite Bank. You might want to check your records.                                                                                                                   ,  18.0,  24.0
00be25b0-458f-4cbf-ae86-ae2ec1f7fba4, Agent   , Thank you for letting me know. I will make a note to update our records.                                                                                                                             ,  23.0,  30.0
00be25b0-458f-4cbf-ae86-ae2ec1f7fba4, Customer, I appreciate that. Is there anything else I need to do?                                                                                                                                              ,  29.0,  34.0
00be25b0-458f-4cbf-ae86-ae2ec1f7fba4, Agent   , "No, that's all. I'm sorry for any inconvenience caused. Have a great day!"                                                                                                                          ,  33.0,  40.0
00be25b0-458f-4cbf-ae86-ae2ec1f7fba4, Customer, "Thank you, you too!"                                                                                                                                                                                ,  39.0,  42.0
019b9e97-9575-459e-9893-b59d8c99acef, Agent   , "Hello, this is Jason calling from XYZ Collections. How are you today?"                                                                                                                              ,   0.0,   7.0
019b9e97-9575-459e-9893-b59d8c99acef, Customer, "I'm okay, but why are you calling me?"                                                                                                                                                              ,   7.5,  10.0
019b9e97-9575-459e-9893-b59d8c99acef, Agent   , I'm reaching out regarding your overdue balance on your account. I just wanted to discuss your payment options.                                                                                      ,  10.0,  20.0
019b9e97-9575-459e-9893-b59d8c99acef, Customer, I already requested to be on your do not call list last month.                                                                                                                                       ,  19.8,  23.0
019b9e97-9575-459e-9893-b59d8c99acef, Agent   , I apologize for the inconvenience. Let me check that for you and ensure your number is marked correctly.                                                                                             ,  22.0,  31.0
019b9e97-9575-459e-9893-b59d8c99acef, Customer, Please do it quickly. I don’t want to hear from you again.                                                                                                                                           ,  30.0,  34.0
019b9e97-9575-459e-9893-b59d8c99acef, Agent   , Absolutely. I’ll mark your number as do not call right now.                                                                                                                                          ,  33.0,  39.0
019b9e97-9575-459e-9893-b59d8c99acef, Customer, "Thank you, I hope this is the last call."                                                                                                                                                           ,  38.0,  42.0
019b9e97-9575-459e-9893-b59d8c99acef, Agent   , You're welcome! I've completed the request. You won't receive any further calls.                                                                                                                     ,  41.0,  50.0
02b08433-58e0-46af-961e-221ba94cb8df, Agent   , "Hello, this is Sarah calling from XYZ Collections. How are you today?"                                                                                                                              ,   0.0,   7.0
02b08433-58e0-46af-961e-221ba94cb8df, Customer, "I'm fine, thanks. What is this about?"                                                                                                                                                              ,   8.0,  12.0
02b08433-58e0-46af-961e-221ba94cb8df, Agent   , I'm reaching out regarding your outstanding balance with Global Credit. Can I have your name to proceed?                                                                                             ,  11.0,  20.0
02b08433-58e0-46af-961e-221ba94cb8df, Customer, It's John Harris.                                                                                                                                                                                    ,  21.0,  23.0
02b08433-58e0-46af-961e-221ba94cb8df, Agent   , "Thank you, John. You currently have a balance of three hundred dollars. When can we expect payment?"                                                                                                ,  22.0,  32.0
02b08433-58e0-46af-961e-221ba94cb8df, Customer, I wasn't even aware of that. Can you tell me more details?                                                                                                                                           ,  33.0,  36.0
02b08433-58e0-46af-961e-221ba94cb8df, Agent   , Of course. This balance includes your last payment missed in August. Would you like to set up a payment plan?                                                                                        ,  35.0,  45.0
02b08433-58e0-46af-961e-221ba94cb8df, Customer, I'm not sure if I can afford that right now.                                                                                                                                                         ,  46.0,  50.0
02b08433-58e0-46af-961e-221ba94cb8df, Agent   , "I understand, John. We can work with you on that. What amount could you manage as a down payment?"                                                                                                  ,  49.0,  58.0
02b08433-58e0-46af-961e-221ba94cb8df, Customer, Maybe I can do fifty dollars.                                                                                                                                                                        ,  59.0,  62.0
02b08433-58e0-46af-961e-221ba94cb8df, Agent   , "Great, I can arrange that. You can pay over the phone or online. Which preference do you have?"                                                                                                     ,  61.0,  71.0
02b08433-58e0-46af-961e-221ba94cb8df, Customer, I prefer online payment.                                                                                                                                                                             ,  72.0,  75.0
02b08433-58e0-46af-961e-221ba94cb8df, Agent   , Perfect! I'll send you a link to complete the payment. Thank you for your cooperation today.                                                                                                         ,  76.0,  85.0
02b08433-58e0-46af-961e-221ba94cb8df, Customer, Thank you for your help.                                                                                                                                                                             ,  86.0,  88.0
02f1cff9-7d47-4168-b1f9-d9fba10847a0, Agent   , "Hello, this is John calling from XYZ Collections. How are you today?"                                                                                                                               ,   0.0,   8.0
02f1cff9-7d47-4168-b1f9-d9fba10847a0, Customer, "I'm fine, thanks. What’s this about?"                                                                                                                                                               ,   9.1,  12.5
02f1cff9-7d47-4168-b1f9-d9fba10847a0, Agent   , I’m reaching out regarding your overdue account. Can you please confirm your address for identity verification purposes?                                                                             ,  11.0,  24.0
02f1cff9-7d47-4168-b1f9-d9fba10847a0, Customer, "Sure, it's 123 Elm Street."                                                                                                                                                                         ,  25.0,  27.0
02f1cff9-7d47-4168-b1f9-d9fba10847a0, Agent   , Thank you. And could you also provide your date of birth for further verification?                                                                                                                   ,  26.0,  36.0
02f1cff9-7d47-4168-b1f9-d9fba10847a0, Customer, "It's April 15, 1990."                                                                                                                                                                               ,  37.0,  40.0
02f1cff9-7d47-4168-b1f9-d9fba10847a0, Agent   , "Great, I’ve confirmed your identity. You have an outstanding balance of $250. How do you wish to proceed with the payment?"                                                                         ,  39.0,  52.0
02f1cff9-7d47-4168-b1f9-d9fba10847a0, Customer, I’d like to pay that off today through credit card.                                                                                                                                                  ,  53.0,  58.0
02f1cff9-7d47-4168-b1f9-d9fba10847a0, Agent   , "That works. Can I have your credit card details, please?"                                                                                                                                           ,  57.0,  62.0
02f1cff9-7d47-4168-b1f9-d9fba10847a0, Customer, "Sure, it’s 4111-1111-1111-1111, expiring 06/25."                                                                                                                                                    ,  63.0,  69.0
02f1cff9-7d47-4168-b1f9-d9fba10847a0, Agent   , Thank you for that information. I will process the payment now.                                                                                                                                      ,  70.0,  76.0
02f1cff9-7d47-4168-b1f9-d9fba10847a0, Customer, How long will it take to reflect?                                                                                                                                                                    ,  77.0,  80.0
02f1cff9-7d47-4168-b1f9-d9fba10847a0, Agent   , It should reflect within 1-2 business days. Is there anything else I can assist you with?                                                                                                            ,  81.0,  89.0
02f1cff9-7d47-4168-b1f9-d9fba10847a0, Customer, "No, that’s all. Thanks for your help!"                                                                                                                                                              ,  90.0,  93.0
02f1cff9-7d47-4168-b1f9-d9fba10847a0, Agent   , You're welcome! Have a great day!                                                                                                                                                                    ,  94.0,  97.0
03132d8f-6a7d-47d0-9540-c6a0ac32d946, Customer, You have reached the voicemail of John Smith. Please leave a message after the beep.                                                                                                                 ,   0.0,   8.0
03132d8f-6a7d-47d0-9540-c6a0ac32d946, Agent   , "Hello John, this is Lisa from Stellar Collections. I am calling about your overdue balance."                                                                                                        ,   9.0,  20.0
03132d8f-6a7d-47d0-9540-c6a0ac32d946, Customer, "To leave a message, please include your name and number."                                                                                                                                           ,  21.0,  30.0
03132d8f-6a7d-47d0-9540-c6a0ac32d946, Agent   , It's important to discuss your options for the account. You can reach me at 1-800-555-0199.                                                                                                          ,  31.0,  42.0
03132d8f-6a7d-47d0-9540-c6a0ac32d946, Customer, Thank you for your message. I will get back to you as soon as possible.                                                                                                                              ,  43.0,  52.0
04bec80f-8614-484b-8ba2-831ff9dd03ef, Agent   , "Hello, this is Kyle from XYZ Collections. How the hell are you?"                                                                                                                                    ,   0.0,   7.0
04bec80f-8614-484b-8ba2-831ff9dd03ef, Customer, "I'm doing well, thank you. How can I assist you today?"                                                                                                                                             ,   7.5,  12.0
04bec80f-8614-484b-8ba2-831ff9dd03ef, Agent   , I need to verify your identity before discussing your account. Can you please give me your date of birth?                                                                                            ,  11.0,  21.0
04bec80f-8614-484b-8ba2-831ff9dd03ef, Customer, "Sure, it's March 15, 1985."                                                                                                                                                                         ,  20.0,  23.0
04bec80f-8614-484b-8ba2-831ff9dd03ef, Agent   , "Alright, that checks out. Now, you owe us a shitload of money. What the hell are you planning to do about it?"                                                                                      ,  22.0,  34.0
04bec80f-8614-484b-8ba2-831ff9dd03ef, Customer, "I plan to pay it off as soon as possible, but I need to discuss my options."                                                                                                                        ,  33.0,  38.0
04bec80f-8614-484b-8ba2-831ff9dd03ef, Agent   , "Options? Don't give me that crap. You need to pay up, plain and simple!"                                                                                                                            ,  37.0,  46.0
04bec80f-8614-484b-8ba2-831ff9dd03ef, Customer, "I understand, but I would like to know if I can set up a payment plan."                                                                                                                             ,  45.0,  50.0
04bec80f-8614-484b-8ba2-831ff9dd03ef, Agent   , Payment plan? Who the hell do you think you are? Just pay the damn balance!                                                                                                                          ,  49.0,  58.0
04bec80f-8614-484b-8ba2-831ff9dd03ef, Customer, "I really want to resolve this, but I need a reasonable solution."                                                                                                                                   ,  57.0,  62.0
04bec80f-8614-484b-8ba2-831ff9dd03ef, Agent   , A reasonable solution is to pay what you owe! Stop wasting my time!                                                                                                                                  ,  61.0,  70.0
04bec80f-8614-484b-8ba2-831ff9dd03ef, Customer, I will find a way to make this work. Thank you for your time.                                                                                                                                        ,  69.0,  74.0
04bec80f-8614-484b-8ba2-831ff9dd03ef, Agent   , "Whatever, just get it done! Bye!"                                                                                                                                                                   ,  73.0,  80.0
05731aab-0e72-46c1-8fd3-dc50fb20c758, Agent   , "Hello, this is Jason from XYZ Collections. How are you today?"                                                                                                                                      ,   0.0,   8.0
05731aab-0e72-46c1-8fd3-dc50fb20c758, Customer, "I'm doing fine, thank you. What’s this about?"                                                                                                                                                      ,   7.5,  11.0
05731aab-0e72-46c1-8fd3-dc50fb20c758, Agent   , "I'm calling regarding your account with City Bank. To ensure I’m speaking with the right person, could you verify your date of birth?"                                                              ,  10.0,  20.0
05731aab-0e72-46c1-8fd3-dc50fb20c758, Customer, "Sure, it’s July 14, 1990."                                                                                                                                                                          ,  19.0,  24.0
05731aab-0e72-46c1-8fd3-dc50fb20c758, Agent   , Thank you for that information. Can you also confirm your current address?                                                                                                                           ,  23.0,  30.0
05731aab-0e72-46c1-8fd3-dc50fb20c758, Customer, "Yes, it's 123 Maple Street, Springfield."                                                                                                                                                           ,  29.0,  34.0
05731aab-0e72-46c1-8fd3-dc50fb20c758, Agent   , Great! I have verified your information. You currently have an outstanding balance of $250. How do you wish to proceed with payment?                                                                 ,  33.0,  44.0
05731aab-0e72-46c1-8fd3-dc50fb20c758, Customer, I can pay half today and the rest next month.                                                                                                                                                        ,  43.0,  50.0
05731aab-0e72-46c1-8fd3-dc50fb20c758, Agent   , That works. Would you like to pay the first installment online?                                                                                                                                      ,  49.0,  55.0
05731aab-0e72-46c1-8fd3-dc50fb20c758, Customer, "Yes, online is fine with me."                                                                                                                                                                       ,  54.0,  58.0
05731aab-0e72-46c1-8fd3-dc50fb20c758, Agent   , Thank you! I’ll send you a link to complete the payment. Is there anything else I can assist you with today?                                                                                         ,  57.0,  66.0
05731aab-0e72-46c1-8fd3-dc50fb20c758, Customer, "No, that’s all for now. Thank you!"                                                                                                                                                                 ,  65.0,  70.0
05731aab-0e72-46c1-8fd3-dc50fb20c758, Agent   , You're welcome! Have a great day.                                                                                                                                                                    ,  69.0,  74.0
05731aab-0e72-46c1-8fd3-dc50fb20c758, Customer, You too! Bye.                                                                                                                                                                                        ,  73.0,  76.0
084fc190-bccc-472f-a6f8-de13e814c67d, Agent   , "Hello, this is Mark from XYZ Collections. Am I speaking with Jordan Smith?"                                                                                                                         ,   0.0,   8.0
084fc190-bccc-472f-a6f8-de13e814c67d, Customer, "Yes, this is Jordan. What's this about?"                                                                                                                                                            ,   8.5,  12.0
084fc190-bccc-472f-a6f8-de13e814c67d, Agent   , "Thank you for confirming, Jordan. I'm calling regarding an outstanding balance on your account. Can you please verify your date of birth?"                                                          ,  11.0,  22.0
084fc190-bccc-472f-a6f8-de13e814c67d, Customer, "Sure, it's June 15, 1990."                                                                                                                                                                          ,  23.0,  26.0
084fc190-bccc-472f-a6f8-de13e814c67d, Agent   , "Thank you for that. Also, could you confirm your address for security purposes?"                                                                                                                    ,  25.0,  34.0
084fc190-bccc-472f-a6f8-de13e814c67d, Customer, "It's 123 Maple Street, Springfield."                                                                                                                                                                ,  34.5,  38.0
084fc190-bccc-472f-a6f8-de13e814c67d, Agent   , "Great, thank you for verifying that information. You currently have a balance of $500. How would you like to proceed with the payment?"                                                             ,  37.0,  48.0
084fc190-bccc-472f-a6f8-de13e814c67d, Customer, I can pay half right now and the rest by the end of the month.                                                                                                                                       ,  48.5,  55.0
084fc190-bccc-472f-a6f8-de13e814c67d, Agent   , "That sounds reasonable. So, you'll pay $250 today and the remaining $250 by the end of the month?"                                                                                                  ,  54.0,  62.0
084fc190-bccc-472f-a6f8-de13e814c67d, Customer, "Yes, that's correct."                                                                                                                                                                               ,  62.5,  64.0
084fc190-bccc-472f-a6f8-de13e814c67d, Agent   , Perfect. How would you like to make the payment today?                                                                                                                                               ,  65.0,  70.0
084fc190-bccc-472f-a6f8-de13e814c67d, Customer, I can do it via credit card.                                                                                                                                                                         ,  70.5,  73.0
084fc190-bccc-472f-a6f8-de13e814c67d, Agent   , "Alright, I will gather your card details. Thank you for your cooperation, Jordan."                                                                                                                  ,  72.0,  80.0
084fc190-bccc-472f-a6f8-de13e814c67d, Customer, Thank you for your help.                                                                                                                                                                             ,  80.5,  82.0
0b6979e4-8c05-49e1-b7a7-94d85a627df5, Agent   , "Hello, this is Mark from XYZ Collections. Am I speaking with Jessica?"                                                                                                                              ,   0.0,   7.0
0b6979e4-8c05-49e1-b7a7-94d85a627df5, Customer, "Yes, this is Jessica. What is this about?"                                                                                                                                                          ,   8.0,  13.0
0b6979e4-8c05-49e1-b7a7-94d85a627df5, Agent   , I’m calling regarding an outstanding balance on your account. Could you please verify your address for me?                                                                                           ,  12.0,  20.0
0b6979e4-8c05-49e1-b7a7-94d85a627df5, Customer, "Sure, it's 123 Elm Street, Springfield."                                                                                                                                                            ,  21.0,  25.0
0b6979e4-8c05-49e1-b7a7-94d85a627df5, Agent   , Thank you. I see here that you have a balance of $450 due. When do you plan to make a payment?                                                                                                       ,  24.0,  33.0
0b6979e4-8c05-49e1-b7a7-94d85a627df5, Customer, I didn't know I had a balance. Can you provide more details?                                                                                                                                         ,  32.0,  36.0
0b6979e4-8c05-49e1-b7a7-94d85a627df5, Agent   , Sure! This balance is from services rendered last month. Can I assist you with the payment plan?                                                                                                     ,  35.0,  44.0
0b6979e4-8c05-49e1-b7a7-94d85a627df5, Customer, I need to check my finances first before committing.                                                                                                                                                 ,  43.0,  49.0
0b6979e4-8c05-49e1-b7a7-94d85a627df5, Agent   , "Of course, take your time. Just to confirm, do you want to set a follow-up call next week?"                                                                                                         ,  48.0,  57.0
0b6979e4-8c05-49e1-b7a7-94d85a627df5, Customer, "Yes, that sounds good."                                                                                                                                                                             ,  56.0,  59.0
0b6979e4-8c05-49e1-b7a7-94d85a627df5, Agent   , "Alright, I will call you next Wednesday. Thank you for your time, Jessica."                                                                                                                         ,  58.0,  66.0
0b6979e4-8c05-49e1-b7a7-94d85a627df5, Customer, "Thank you, Mark."                                                                                                                                                                                   ,  65.0,  68.0
0b6979e4-8c05-49e1-b7a7-94d85a627df5, Agent   , Goodbye!                                                                                                                                                                                             ,  70.0,  72.0
0b764207-9bf4-4201-b69a-b0e6077a5689, Customer, You have reached the voicemail of Jamie Parker. Please leave a message after the beep.                                                                                                               ,   0.0,   7.0
0b764207-9bf4-4201-b69a-b0e6077a5689, Agent   , "Hello Jamie, this is Sarah calling from Clear Collections. I'm reaching out about your outstanding balance on your account. Please call us back at one eight hundred two three four five six seven.",   8.0,  22.0
0b764207-9bf4-4201-b69a-b0e6077a5689, Customer, "If this is an urgent matter, you may also reach me via email."                                                                                                                                      ,  23.0,  30.0
0b764207-9bf4-4201-b69a-b0e6077a5689, Agent   , You can reach us at support@clearcollections.com. We're here to assist you in resolving this issue as soon as possible.                                                                              ,  31.0,  42.0
0b764207-9bf4-4201-b69a-b0e6077a5689, Customer, Thank you for the information. I will get back to you shortly.                                                                                                                                       ,  43.0,  50.0
0bf6844f-af6a-4e46-8d72-9ec01e4bc99a, Agent   , "Hello, is this Maria?"                                                                                                                                                                              ,   0.0,   4.0
0bf6844f-af6a-4e46-8d72-9ec01e4bc99a, Customer, "Yes, this is Maria."                                                                                                                                                                                ,   4.5,   6.0
0bf6844f-af6a-4e46-8d72-9ec01e4bc99a, Agent   , "Hi Maria, this is John calling from XYZ Collections. How are you today?"                                                                                                                            ,   6.0,  12.0
0bf6844f-af6a-4e46-8d72-9ec01e4bc99a, Customer, "I'm doing alright, thank you."                                                                                                                                                                      ,  12.5,  15.0
0bf6844f-af6a-4e46-8d72-9ec01e4bc99a, Agent   , I'm glad to hear that! I'm reaching out to discuss your account with ABC Bank. Can I get your account number?                                                                                        ,  15.0,  25.0
0bf6844f-af6a-4e46-8d72-9ec01e4bc99a, Customer, I don't have it handy right now.                                                                                                                                                                     ,  25.5,  28.0
0bf6844f-af6a-4e46-8d72-9ec01e4bc99a, Agent   , No problem! I can look it up with your name. You've got an outstanding balance of $250. Would you like to discuss payment options?                                                                   ,  28.0,  40.0
0bf6844f-af6a-4e46-8d72-9ec01e4bc99a, Customer, I wasn’t aware of that amount. Can you give me more details?                                                                                                                                         ,  40.5,  44.0
0bf6844f-af6a-4e46-8d72-9ec01e4bc99a, Agent   , Sure! The balance is from a missed payment last month. Do you have a plan to settle this soon?                                                                                                       ,  44.0,  54.0
0bf6844f-af6a-4e46-8d72-9ec01e4bc99a, Customer, I need some time to think about it.                                                                                                                                                                  ,  54.5,  58.0
0bf6844f-af6a-4e46-8d72-9ec01e4bc99a, Agent   , "That's completely understandable. Just remember, the sooner you settle, the better for your credit report."                                                                                         ,  58.5,  66.0
0bf6844f-af6a-4e46-8d72-9ec01e4bc99a, Customer, "Okay, I'll review my finances and get back to you."                                                                                                                                                 ,  66.5,  70.0
0bf6844f-af6a-4e46-8d72-9ec01e4bc99a, Agent   , "Thank you, Maria. I appreciate your attention to this matter. Have a great day!"                                                                                                                    ,  70.5,  76.0
0bf6844f-af6a-4e46-8d72-9ec01e4bc99a, Customer, "You too, goodbye!"                                                                                                                                                                                  ,  76.5,  79.0
0c8297aa-ced1-414e-a175-bf29a9763d30, Agent   , "Hello, this is Mike from XYZ Collections. Am I speaking with Jessica?"                                                                                                                              ,   0.0,   7.0
0c8297aa-ced1-414e-a175-bf29a9763d30, Customer, "Yes, this is Jessica. What’s this about?"                                                                                                                                                           ,   8.0,  12.0
0c8297aa-ced1-414e-a175-bf29a9763d30, Agent   , "I'm calling regarding your outstanding balance with City Credit. Before I provide any details, could you please confirm your date of birth?"                                                        ,  11.0,  21.0
0c8297aa-ced1-414e-a175-bf29a9763d30, Customer, "Sure, it’s April 15, 1990."                                                                                                                                                                         ,  22.0,  25.0
0c8297aa-ced1-414e-a175-bf29a9763d30, Agent   , "Thank you, Jessica. Can you also confirm your current address?"                                                                                                                                     ,  24.0,  29.0
0c8297aa-ced1-414e-a175-bf29a9763d30, Customer, "It’s 123 Maple Street, Springfield."                                                                                                                                                                ,  30.0,  34.0
0c8297aa-ced1-414e-a175-bf29a9763d30, Agent   , "Great, I appreciate your cooperation. You have an outstanding balance of $250. How would you like to handle this?"                                                                                  ,  33.0,  45.0
0c8297aa-ced1-414e-a175-bf29a9763d30, Customer, I can pay $100 today and the rest next week.                                                                                                                                                         ,  46.0,  51.0
0c8297aa-ced1-414e-a175-bf29a9763d30, Agent   , That works. I’ll note the payment of $100 today. Can I set up the payment method?                                                                                                                    ,  50.0,  58.0
0c8297aa-ced1-414e-a175-bf29a9763d30, Customer, "Yes, you can charge my credit card."                                                                                                                                                                ,  59.0,  62.0
0c8297aa-ced1-414e-a175-bf29a9763d30, Agent   , Thank you. Could you please provide the card number and expiration date?                                                                                                                             ,  61.0,  66.0
0c8297aa-ced1-414e-a175-bf29a9763d30, Customer, "It's 4111 1111 1111 1111, expiring 12/25."                                                                                                                                                          ,  67.0,  71.0
0c8297aa-ced1-414e-a175-bf29a9763d30, Agent   , Thank you for that information. Your payment has been processed. Is there anything else I can assist you with?                                                                                       ,  70.0,  80.0
0c8297aa-ced1-414e-a175-bf29a9763d30, Customer, "No, that’s all for now. Thank you!"                                                                                                                                                                 ,  81.0,  84.0
0c8297aa-ced1-414e-a175-bf29a9763d30, Agent   , "You're welcome, Jessica. Have a great day!"                                                                                                                                                         ,  83.0,  88.0
0d825dd5-99b2-4edd-af24-e39952ac84d5, Customer, You have reached the voicemail of John Smith. Please leave a message after the beep.                                                                                                                 ,   0.0,   8.0
0d825dd5-99b2-4edd-af24-e39952ac84d5, Agent   , "Hello, John. This is Lisa from Greenfield Collections. I wanted to discuss your account balance."                                                                                                   ,  11.0,  20.0
0d825dd5-99b2-4edd-af24-e39952ac84d5, Customer, "If you need immediate assistance, please send an email."                                                                                                                                            ,  21.0,  27.0
0d825dd5-99b2-4edd-af24-e39952ac84d5, Agent   , You can reach me at 1-800-555-0199. It's important to address this matter as soon as possible.                                                                                                       ,  28.0,  39.0
0d825dd5-99b2-4edd-af24-e39952ac84d5, Customer, Thank you for your call. I'll return it as soon as I can.                                                                                                                                            ,  40.0,  46.0
0e2d1981-bd63-4fdd-a4ef-075732cbf26b, Agent   , "Hello, this is Mark from XYZ Collections. How are you today?"                                                                                                                                       ,   0.0,   7.0
